,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,1800-1849,'color_dsprites','beta_vae',1.0,,,,,,0-49,-341.07095520019607,32.357534027099994,341.07095520019607,308.71345336914203,32.357534027099994,0.820046,0.8119680000000001,0.61873,0.619028,0.7373704000000001,0.3747200000000001,0.139310612934,0.14262410433200004,0.067051990572,0.040549600000000005,0.813138675408,0.7872895553120002,0.777946144912
1,1850-1899,'color_dsprites','beta_vae',2.0,,,,,,0-49,-343.62688842773395,26.044012908942,369.670909423826,317.582856445316,52.088025817871994,0.8303880000000001,0.8237960000000001,0.66168,0.6636560000000001,0.7574664000000001,0.4089592,0.18899535090199998,0.17774645403800002,0.08643711616400002,0.050210399999999995,0.847769687264,0.7863266487700001,0.7778016402140001
2,1900-1949,'color_dsprites','beta_vae',4.0,,,,,,0-49,-355.76941284180197,19.33128974915,413.763256835936,336.43812072753406,77.325158996584,0.855486,0.8485720000000001,0.6909000000000001,0.689352,0.7909228,0.4710952000000001,0.246931776114,0.23414175125600004,0.126919581184,0.0636656,0.866319214244,0.789198561146,0.781507290018
3,1950-1999,'color_dsprites','beta_vae',6.0,,,,,,0-49,-369.04686828613603,16.04360507965,449.26488220215,353.003246459958,96.26163375854398,0.8485300000000001,0.844192,0.694702,0.6907399999999998,0.7933232,0.4813952,0.24983869897799998,0.245567558728,0.127688840884,0.06037120000000001,0.859741026278,0.7926803679740001,0.785129822456
4,2000-2049,'color_dsprites','beta_vae',8.0,,,,,,0-49,-383.242844848636,13.87751529694,480.38544372558795,369.36531250000195,111.02012237548598,0.84756,0.8410679999999999,0.7158460000000001,0.7095959999999999,0.7877044000000001,0.48191680000000003,0.23735177943799995,0.2466546717,0.13145377594,0.058041600000000006,0.8384202618900001,0.7919117170100001,0.78404595358
5,2050-2099,'color_dsprites','beta_vae',16.0,,,,,,0-49,-428.590003662112,9.365306491854001,569.069620361326,419.22470703124606,149.844903869626,0.8432040000000001,0.8388119999999999,0.679852,0.673456,0.7832036000000001,0.5090992,0.26905688506000003,0.299936693766,0.153840803906,0.06116239999999999,0.8207432296539998,0.7921270335359999,0.7841698582560003
6,2100-2149,'color_dsprites','factor_vae',,10.0,,,,,0-49,,26.016429252621997,385.36912353515805,342.432600097654,42.936536865236,0.8485260000000001,0.841824,0.7388859999999999,0.7363160000000001,0.7222844000000002,0.383068,0.225851482114,0.240285384284,0.12244645160999999,0.06195920000000001,0.8193778533140003,0.7753067309919999,0.7655560540200002
7,2150-2199,'color_dsprites','factor_vae',,20.0,,,,,0-49,,24.378704833976002,393.94717651367404,353.1956115722701,40.751624565120004,0.8404879999999999,0.8331760000000001,0.746858,0.742232,0.7250055999999999,0.38888480000000003,0.24476759266999998,0.25316081665400003,0.127351491736,0.06296240000000002,0.8219072978340001,0.7774010502579999,0.768422124776
8,2200-2249,'color_dsprites','factor_vae',,30.0,,,,,0-49,,23.838324317928,396.78197631836207,357.91162597656796,38.87033470154,0.8472240000000001,0.8402120000000001,0.75715,0.7552000000000001,0.7249792,0.3903456,0.253834180562,0.25755176415000003,0.130190489196,0.061020000000000005,0.833300123126,0.7771233589180001,0.768299770756
9,2250-2299,'color_dsprites','factor_vae',,40.0,,,,,0-49,,24.134929008488,400.54735229492593,361.08769470214605,39.459659118652006,0.8469920000000001,0.839276,0.7688740000000002,0.7649000000000002,0.7257676000000001,0.394928,0.271155366572,0.27180179303400004,0.13938107849400003,0.06188400000000001,0.8296865871860001,0.776519894402,0.7673371876920001
10,2300-2349,'color_dsprites','factor_vae',,50.0,,,,,0-49,,23.968507308962,401.29982666015997,363.02101318359405,38.278812446594,0.8488580000000002,0.8417159999999998,0.7721040000000001,0.7680919999999999,0.7247532000000001,0.39589199999999997,0.26880369452799996,0.267712857554,0.13924175477200001,0.060588800000000005,0.8265243817060001,0.7746657526919999,0.7656495007540001
11,2350-2399,'color_dsprites','factor_vae',,100.0,,,,,0-49,,22.804098815909995,406.19627685546794,369.42916076660003,36.767105255132,0.848214,0.8416,0.7603820000000002,0.755312,0.7249236000000002,0.4037624000000001,0.27397469122800006,0.28728443170800005,0.17478821201400002,0.05733200000000001,0.8283427572200002,0.7736264538419999,0.7648858008000002
12,2400-2449,'color_dsprites','dip_vae_i',,,10.0,1.0,,,0-49,-344.38767272948803,33.031275558474,347.742279663082,311.356413574222,36.385831527712,0.815616,0.8068080000000001,0.583014,0.58196,0.7298643999999999,0.36120560000000007,0.121310023514,0.115235893312,0.06476855496799999,0.036330400000000006,0.8958624499900002,0.783191757722,0.7710065416999999
13,2450-2499,'color_dsprites','dip_vae_i',,,10.0,2.0,,,0-49,-345.008806152348,33.194056243898,351.14820739746006,311.81468566894995,39.333524856566,0.8259760000000002,0.8181,0.592444,0.590884,0.7319248,0.365488,0.135146201478,0.128072529668,0.081172197264,0.04567120000000001,0.893045463022,0.784092753514,0.7716566028040002
14,2500-2549,'color_dsprites','dip_vae_i',,,10.0,5.0,,,0-49,-346.292182617188,33.653013229369996,359.944547119144,312.639212646482,47.305365676879994,0.8227900000000001,0.8148039999999999,0.60178,0.5997520000000001,0.7336704000000001,0.3721192,0.13533570185,0.127354545634,0.08282758523,0.044429600000000014,0.8939012322260002,0.7856206722139999,0.7726757002480003
15,2550-2599,'color_dsprites','dip_vae_i',,,10.0,10.0,,,0-49,-348.6275323486341,34.274803771964,373.468816528312,314.35271301270006,59.11613510132201,0.8150360000000002,0.806528,0.604992,0.603404,0.729736,0.3722000000000001,0.115997144264,0.10646883427600001,0.067832442668,0.034788,0.8974295554000001,0.785785039174,0.7725080369220001
16,2600-2649,'color_dsprites','dip_vae_i',,,10.0,20.0,,,0-49,-353.446699218746,35.476747283936,398.598298339836,317.969990234374,80.628286132816,0.7557639999999999,0.7451920000000001,0.571998,0.5653320000000001,0.7201036000000001,0.36343359999999997,0.063469474508,0.051101582868,0.031851690909999994,0.013817600000000003,0.883412654158,0.7738302078560001,0.760073946752
17,2650-2699,'color_dsprites','dip_vae_i',,,10.0,50.0,,,0-49,-362.32212219237596,37.350667648308,463.01066772460604,324.971496582034,138.039164428716,0.7197319999999999,0.709108,0.532848,0.5259480000000001,0.7112788000000001,0.3584456000000001,0.04782677979600001,0.037471806378,0.019768246404,0.0083568,0.8768435459819999,0.764227539778,0.7502286576999999
18,2700-2749,'color_dsprites','dip_vae_ii',,,1.0,1.0,,,0-49,-342.622093505866,32.498375091552,344.02951171875605,310.123737792976,33.905786895756,0.8003980000000002,0.7912,0.5690919999999999,0.571736,0.7334260000000001,0.3639208,0.11475638979200001,0.113233067236,0.05529407753199999,0.0326768,0.842319495076,0.784132576506,0.7732941064
19,2750-2799,'color_dsprites','dip_vae_ii',,,1.0,2.0,,,0-49,-342.821602783202,32.561430320732,345.54210998535,310.260217895508,35.281936874388,0.8010299999999999,0.792584,0.558476,0.5579160000000001,0.7326372000000001,0.36256,0.11104143193,0.10912853031200001,0.05490519033400001,0.03256320000000001,0.850795769274,0.78335416518,0.77219013882
20,2800-2849,'color_dsprites','dip_vae_ii',,,1.0,5.0,,,0-49,-342.979766235354,32.102632637028,349.347473754878,310.87714111328404,38.470341720578006,0.8012319999999999,0.792136,0.558104,0.557612,0.7365372000000001,0.36479599999999995,0.11537790343600002,0.11264546279799999,0.058328379378,0.033099199999999995,0.84933672208,0.784522910446,0.7733064181279999
21,2850-2899,'color_dsprites','dip_vae_ii',,,1.0,10.0,,,0-49,-342.96651855468605,29.520673980714,352.75361389160406,313.44591003418805,39.307730712898,0.8022199999999999,0.7921200000000002,0.55274,0.55364,0.7460208000000002,0.3747008000000001,0.115428079662,0.12063442117399999,0.057280847924,0.03282,0.8466731686679999,0.7882050422620002,0.778734126326
22,2900-2949,'color_dsprites','dip_vae_ii',,,1.0,20.0,,,0-49,-346.16353149414795,26.215258941646006,359.525103759764,319.948291625974,39.576817626953996,0.80914,0.801944,0.5771200000000001,0.5735560000000001,0.7492196000000001,0.3803864,0.10949664502399999,0.12869566383400002,0.05859910915800001,0.030762400000000002,0.8378800777640001,0.7974267716039999,0.789300103878
23,2950-2999,'color_dsprites','dip_vae_ii',,,1.0,50.0,,,0-49,-350.0777770996101,23.943835525510003,373.0672430419899,326.13390502929195,46.93333534240801,0.8179320000000001,0.81002,0.5534060000000001,0.5513920000000001,0.7385124000000001,0.3713984000000001,0.10156141555200002,0.12750314770600002,0.054025434304,0.027895200000000005,0.8475058294320001,0.804076469692,0.7962414430320002
24,3000-3049,'color_dsprites','beta_tc_vae',,,,,1.0,,0-49,-341.21686645508606,32.407673492436004,341.21686645508606,308.80918579101603,32.407673492436004,0.81828,0.80966,0.612048,0.613024,0.7370960000000001,0.37427999999999995,0.13812390288200002,0.141089493182,0.06605521045599999,0.039676800000000005,0.8112206656140001,0.786685166298,0.777178811914
25,3050-3099,'color_dsprites','beta_tc_vae',,,,,2.0,,0-49,-342.424483032228,27.072737503056,325.04327697754405,315.351718749998,9.691506576538,0.8360820000000001,0.8314919999999999,0.68148,0.68156,0.7719852,0.4349808,0.211725574184,0.20104353069799996,0.09959382659200001,0.05050639999999999,0.849736275728,0.7886024763320001,0.7805733389739999
26,3100-3149,'color_dsprites','beta_tc_vae',,,,,4.0,,0-49,-351.641155395508,20.745243644718002,282.037925415038,330.89588317871596,-48.857980041498,0.864994,0.8611280000000001,0.7564359999999999,0.7537600000000002,0.8214776,0.5208112,0.278674342222,0.27228789655,0.14836095392600002,0.05886480000000001,0.88392933213,0.796057240388,0.7884892866840001
27,3150-3199,'color_dsprites','beta_tc_vae',,,,,6.0,,0-49,-363.70198059081997,17.472345695498,232.47126983642804,346.229616088866,-113.758354187014,0.8693500000000002,0.8650080000000001,0.7680020000000001,0.763572,0.8346456000000001,0.556388,0.30954792092800004,0.31810791691400003,0.17721178991400002,0.061798399999999996,0.8824633028580001,0.797482114812,0.7902548788039999
28,3200-3249,'color_dsprites','beta_tc_vae',,,,,8.0,,0-49,-374.45096679687407,15.34455640793,176.89941497802803,359.10645446778005,-182.20699829101397,0.869134,0.865224,0.7892199999999999,0.7870320000000001,0.8384003999999998,0.5820960000000001,0.3400636971020001,0.35164302647799994,0.183469575582,0.05961760000000001,0.8759304376479998,0.7994570373480001,0.792344181548
29,3250-3299,'color_dsprites','beta_tc_vae',,,,,10.0,,0-49,-386.7982153320359,13.650174636844001,119.913805236816,373.148037109378,-253.23424926757605,0.8634460000000002,0.8578800000000001,0.773456,0.7713760000000001,0.8364512000000001,0.5870088,0.351860186808,0.367742124614,0.18178072547400004,0.0627144,0.868264793586,0.7987187181180001,0.7916533245520001
30,3300-3349,'color_dsprites','annealed_vae',,,,,,5.0,0-49,-543.940394287102,5.004142045976,554.0592517089821,538.936241455082,15.123026819226,0.868554,0.8647159999999999,0.6057,0.5992000000000001,0.7397096000000001,0.510772,0.42864512904,0.525425735596,0.36292344563,0.07409920000000002,0.8005737150419999,0.7608266041839999,0.7487265278779998
31,3350-3399,'color_dsprites','annealed_vae',,,,,,10.0,0-49,-467.192163085936,9.999865303040002,474.17432434082394,457.192382812498,16.981965980526,0.851774,0.8459839999999998,0.6057,0.5992000000000001,0.7122124000000001,0.450432,0.27898223185000004,0.34881210579199995,0.256324370496,0.05439120000000001,0.8679261576760001,0.7634787250300001,0.7508210211160002
32,3400-3449,'color_dsprites','annealed_vae',,,,,,25.0,0-49,-476.960151367192,24.995410728449997,485.99363891601206,451.96480651855194,34.028895821568,0.7856420000000002,0.779704,0.593388,0.5830879999999999,0.6955492000000001,0.39456880000000005,0.127408409808,0.155712119914,0.120897614342,0.038118400000000004,0.879406943796,0.76366856501,0.7506721069540001
33,3450-3499,'color_dsprites','annealed_vae',,,,,,50.0,0-49,-505.7880206298859,50.015881423944,525.476558227534,455.77211669922406,69.70439306258201,0.7055859999999999,0.6989760000000002,0.565522,0.5580520000000001,0.6910900000000001,0.37805199999999994,0.08014822665400001,0.10000933529400001,0.072564816638,0.022764799999999998,0.8579287027580002,0.749114426234,0.7351051124940001
34,3500-3549,'color_dsprites','annealed_vae',,,,,,75.0,0-49,-534.4237225341681,75.003744964598,571.580939331056,459.4199609375,112.16089492798199,0.66499,0.6581279999999999,0.506756,0.498684,0.6906004000000001,0.3698912000000001,0.064714213256,0.08438900672,0.046392644774,0.014488000000000001,0.870644212634,0.743494807648,0.7299911077220002
35,3550-3599,'color_dsprites','annealed_vae',,,,,,100.0,0-49,-564.3869805908181,100.03078704834199,632.3404602050781,464.35627014160394,167.984198913578,0.650462,0.6449000000000001,0.5002179999999999,0.49276799999999993,0.692298,0.3696888,0.05992555760999999,0.08394704332400002,0.045669901364,0.009828,0.8732319499520002,0.7413614897240001,0.7277665220819999
